run,window,seq,query,mem_rss_mb,mem_delta_mb,cpu_user_ms,cpu_sys_ms,disk_read_kb,disk_write_kb
1,0,0,Q6,1208.125,0.2812,0.7978,1.4941,64.0,0.0
1,0,1,Q6,1208.140625,0.0,0.71,1.0799,0.0,0.0
1,0,2,Q1,1208.171875,0.0312,0.8938,1.235,180.0,0.0
1,0,3,Q12,1208.1875,0.0156,0.7936,1.1698,0.0,0.0
1,0,4,Q1,1208.1875,0.0,0.7575,0.8796,0.0,0.0
1,0,5,Q6,1208.1875,0.0,0.7305,1.1439,0.0,0.0
1,0,6,Q1,1208.1875,0.0,0.709,0.8484,64.0,236.0
1,0,7,Q1,1208.1875,0.0,0.7123,0.9726,0.0,44.0
1,0,8,Q6,1208.1875,0.0,0.6963,0.9036,0.0,0.0
1,0,9,Q6,1208.1875,0.0,0.7076,1.1113,0.0,0.0
1,0,10,Q6,1208.1875,0.0,0.7564,1.1063,0.0,0.0
1,0,11,Q6,1208.1875,0.0,0.6492,0.8413,0.0,0.0
1,0,12,Q12,1208.1875,0.0,0.9298,1.1488,0.0,0.0
1,0,13,Q1,1208.1875,0.0,0.8205,1.1478,64.0,2144.0
1,0,14,Q6,1208.1875,0.0,0.8257,1.186,0.0,0.0
1,0,15,Q6,1208.1875,0.0,0.7407,1.0785,0.0,0.0
1,0,16,Q6,1208.1875,0.0,0.7672,1.1077,0.0,0.0
1,0,17,Q10,1208.234375,0.0469,1.0163,1.1281,0.0,0.0
1,0,18,Q1,1208.234375,0.0,0.9102,1.2249,0.0,84.0
1,0,19,Q6,1208.265625,0.0312,0.6601,1.0368,0.0,0.0
1,0,20,Q6,1208.265625,0.0,0.7555,1.0974,16.0,0.0
1,1,21,Q6,1208.265625,0.0,0.5792,0.9054,0.0,0.0
1,1,22,Q12,1208.265625,0.0,0.7529,1.1355,0.0,0.0
1,1,23,Q1,1208.265625,0.0,0.7832,0.8726,0.0,0.0
1,1,24,Q1,1208.265625,0.0,0.7105,0.8426,12.0,1432.0
1,1,25,Q1,1208.265625,0.0,0.7375,0.9535,164.0,0.0
1,1,26,Q1,1208.265625,0.0,0.8119,1.1253,1260.0,1064.0
1,1,27,Q1,1208.265625,0.0,0.7835,1.2277,0.0,48.0
1,1,28,Q1,1208.265625,0.0,0.6225,0.8637,0.0,0.0
1,1,29,Q1,1208.265625,0.0,0.7455,0.9785,0.0,2632.0
1,1,30,Q6,1208.265625,0.0,0.6664,0.9125,0.0,0.0
1,1,31,Q6,1208.265625,0.0,0.5838,0.8405,0.0,0.0
1,1,32,Q1,1208.265625,0.0,0.8873,1.211,16.0,0.0
1,1,33,Q1,1208.265625,0.0,0.6326,0.7049,0.0,0.0
1,1,34,Q1,1208.265625,0.0,0.6596,0.8095,0.0,0.0
1,1,35,Q1,1208.265625,0.0,0.8333,1.2667,0.0,0.0
1,1,36,Q1,1208.265625,0.0,0.8769,1.1395,164.0,0.0
1,1,37,Q1,1208.265625,0.0,0.9158,1.1747,0.0,324.0
1,2,38,Q12,1208.265625,0.0,0.7448,1.1224,0.0,0.0
1,2,39,Q1,1208.265625,0.0,0.8845,1.1732,356.0,4.0
1,2,40,Q1,1208.265625,0.0,0.7749,0.9789,0.0,0.0
1,2,41,Q1,1208.265625,0.0,0.7278,1.0488,0.0,0.0
1,2,42,Q1,1208.265625,0.0,0.7345,0.8905,0.0,0.0
1,2,43,Q12,1208.265625,0.0,0.8901,1.245,0.0,0.0
1,2,44,Q12,1208.265625,0.0,0.742,0.893,0.0,0.0
1,2,45,Q1,1208.265625,0.0,0.8399,1.1803,76.0,0.0
1,2,46,Q12,1208.265625,0.0,0.8381,1.0644,0.0,0.0
1,2,47,Q14,1208.28125,0.0156,0.7515,1.0802,0.0,0.0
1,2,48,Q6,1208.28125,0.0,0.5686,0.7086,0.0,0.0
1,2,49,Q1,1208.28125,0.0,0.6106,0.8445,0.0,0.0
1,2,50,Q12,1208.28125,0.0,0.7615,0.971,0.0,316.0
1,2,51,Q14,1208.28125,0.0,0.7506,0.9841,0.0,0.0
1,2,52,Q1,1208.28125,0.0,0.7891,1.0817,0.0,0.0
1,2,53,Q10,1208.28125,0.0,0.9494,1.0437,164.0,0.0
1,2,54,Q6,1208.28125,0.0,0.7247,1.1362,0.0,0.0
1,2,55,Q1,1208.28125,0.0,0.7393,0.9277,0.0,0.0
1,2,56,Q6,1208.28125,0.0,0.7692,1.1716,0.0,0.0
1,3,57,Q12,1208.28125,0.0,0.7396,1.1233,0.0,0.0
1,3,58,Q1,1208.28125,0.0,0.7547,1.0876,0.0,0.0
1,3,59,Q6,1208.28125,0.0,0.7788,1.0908,0.0,0.0
1,3,60,Q6,1208.28125,0.0,0.674,0.8828,0.0,0.0
1,3,61,Q12,1208.28125,0.0,0.8573,1.0575,0.0,0.0
1,3,62,Q10,1208.28125,0.0,1.0377,1.0312,0.0,0.0
1,3,63,Q14,1208.28125,0.0,0.5563,0.8614,0.0,0.0
1,3,64,Q6,1208.28125,0.0,0.6271,1.0665,0.0,0.0
1,3,65,Q12,1208.28125,0.0,0.7305,1.1174,0.0,0.0
1,3,66,Q12,1208.28125,0.0,0.6205,0.8829,0.0,0.0
1,3,67,Q6,1208.28125,0.0,0.574,0.8635,0.0,0.0
1,3,68,Q6,1208.28125,0.0,0.6821,0.9172,0.0,0.0
1,3,69,Q12,1208.28125,0.0,0.8239,1.0269,0.0,0.0
1,3,70,Q1,1208.28125,0.0,0.7391,0.8565,0.0,0.0
1,3,71,Q12,1208.28125,0.0,0.7593,1.0127,0.0,44.0
1,3,72,Q1,1208.28125,0.0,0.8507,1.1352,0.0,0.0
1,3,73,Q1,1208.28125,0.0,0.8324,1.0103,16.0,8.0
1,3,74,Q12,1208.28125,0.0,0.731,1.0975,0.0,0.0
1,4,75,Q6,1208.28125,0.0,0.6287,1.0634,0.0,0.0
1,4,76,Q1,1208.28125,0.0,0.7474,0.8538,4.0,4.0
1,4,77,Q12,1208.28125,0.0,0.6213,0.8375,4.0,0.0
1,4,78,Q6,1208.28125,0.0,0.7296,1.0858,0.0,0.0
1,4,79,Q6,1208.28125,0.0,0.7619,1.0846,0.0,0.0
1,4,80,Q6,1208.28125,0.0,0.6803,1.0855,0.0,0.0
1,4,81,Q14,1208.28125,0.0,0.5398,0.6221,0.0,0.0
1,4,82,Q6,1208.28125,0.0,0.7671,1.11,0.0,0.0
1,4,83,Q10,1208.296875,0.0156,0.8849,0.9252,0.0,0.0
1,4,84,Q6,1208.296875,0.0,0.6932,0.9016,0.0,0.0
1,4,85,Q1,1208.296875,0.0,0.6926,0.9181,164.0,0.0
1,4,86,Q6,1208.296875,0.0,0.6496,0.8493,0.0,0.0
1,4,87,Q1,1208.296875,0.0,0.9187,1.2346,0.0,0.0
1,4,88,Q14,1208.296875,0.0,0.6284,0.9051,0.0,0.0
1,4,89,Q6,1208.296875,0.0,0.7203,1.0572,0.0,0.0
1,4,90,Q1,1208.296875,0.0,0.9039,1.2221,0.0,4.0
1,4,91,Q6,1208.296875,0.0,0.7866,1.0863,0.0,0.0
1,4,92,Q6,1208.296875,0.0,0.7067,1.018,0.0,0.0
1,4,93,Q6,1208.296875,0.0,0.7999,1.1687,0.0,0.0
1,4,94,Q6,1208.296875,0.0,0.6828,1.0675,0.0,0.0
1,5,95,Q1,1208.3125,0.0,0.9204,1.2657,12.0,316.0
1,5,96,Q6,1208.3125,0.0,0.7611,1.0938,0.0,0.0
1,5,97,Q12,1208.3125,0.0,0.9228,1.165,0.0,0.0
1,5,98,Q12,1208.3125,0.0,0.8457,1.0408,0.0,0.0
1,5,99,Q14,1208.3125,0.0,0.7306,1.0175,0.0,0.0
1,5,100,Q7,1208.328125,0.0156,1.0743,1.1484,0.0,0.0
1,5,101,Q14,1208.328125,0.0,0.7571,0.9569,0.0,0.0
1,5,102,Q7,1208.328125,0.0,1.1425,1.2379,0.0,0.0
1,5,103,Q12,1208.328125,0.0,0.7341,1.1225,0.0,1236.0
1,5,104,Q12,1208.328125,0.0,0.8879,1.1628,0.0,0.0
1,5,105,Q1,1208.328125,0.0,0.7201,0.834,0.0,112.0
1,5,106,Q1,1208.328125,0.0,0.6981,0.8876,0.0,0.0
1,5,107,Q1,1208.328125,0.0,0.8191,1.1864,4.0,2000.0
1,5,108,Q12,1208.328125,0.0,0.8435,1.162,0.0,0.0
1,5,109,Q7,1208.34375,0.0156,0.9615,1.0607,0.0,0.0
1,5,110,Q14,1208.34375,0.0,0.6574,0.8946,0.0,0.0
1,5,111,Q1,1208.34375,0.0,0.8261,1.1872,180.0,0.0
1,5,112,Q6,1208.34375,0.0,0.6455,0.8385,0.0,0.0
1,5,113,Q1,1208.34375,0.0,0.8401,1.0892,0.0,312.0
1,5,114,Q14,1208.34375,0.0,0.7272,1.025,0.0,0.0
1,5,115,Q12,1208.34375,0.0,0.6802,0.9373,0.0,0.0
1,5,116,Q1,1208.34375,0.0,0.8806,1.1859,0.0,0.0
1,5,117,Q1,1208.34375,0.0,0.9053,1.2184,0.0,0.0
1,6,118,Q1,1208.34375,0.0,0.7423,1.0256,36.0,1332.0
1,6,119,Q12,1208.34375,0.0,0.8664,1.0388,0.0,0.0
1,6,120,Q14,1208.34375,0.0,0.6441,0.8384,0.0,0.0
1,6,121,Q12,1208.34375,0.0,0.7846,1.0076,0.0,0.0
1,6,122,Q14,1208.34375,0.0,0.8298,1.0513,0.0,0.0
1,6,123,Q14,1208.34375,0.0,0.3999,0.4287,0.0,0.0
1,6,124,Q14,1208.34375,0.0,0.1385,0.2374,0.0,128.0
1,6,125,Q14,1208.34375,0.0,0.3887,0.67,16.0,304.0
1,6,126,Q14,1208.34375,0.0,0.4607,0.7056,0.0,0.0
1,6,127,Q6,1208.34375,0.0,0.5853,0.7997,0.0,0.0
1,6,128,Q1,1208.34375,0.0,0.8311,1.1284,240.0,540.0
1,6,129,Q1,1208.34375,0.0,0.8558,1.1565,0.0,0.0
1,6,130,Q14,1208.34375,0.0,0.6548,0.8515,0.0,0.0
1,6,131,Q14,1208.34375,0.0,0.7341,1.0177,0.0,0.0
1,6,132,Q14,1208.34375,0.0,0.6264,0.9062,0.0,0.0
1,6,133,Q6,1208.34375,0.0,0.618,0.9084,0.0,0.0
1,6,134,Q6,1208.34375,0.0,0.6831,0.9959,4.0,0.0
1,6,135,Q6,1208.34375,0.0,0.7356,1.129,0.0,0.0
1,7,136,Q6,1208.34375,0.0,0.6959,1.4605,0.0,0.0
1,7,137,Q6,1208.34375,0.0,0.7388,0.9856,0.0,0.0
1,7,138,Q12,1208.34375,0.0,0.7808,0.981,0.0,0.0
1,7,139,Q12,1208.34375,0.0,0.8116,1.1485,0.0,0.0
1,7,140,Q12,1208.34375,0.0,0.719,1.0019,0.0,0.0
1,7,141,Q12,1208.34375,0.0,0.8428,1.0863,0.0,0.0
1,7,142,Q6,1208.34375,0.0,0.7617,1.1453,0.0,40.0
1,7,143,Q14,1208.34375,0.0,0.6318,1.0104,16.0,32.0
1,7,144,Q14,1208.34375,0.0,0.655,0.9702,0.0,0.0
1,7,145,Q6,1208.34375,0.0,0.5734,0.8285,16.0,72.0
1,7,146,Q12,1208.34375,0.0,0.8492,1.1284,16.0,64.0
1,7,147,Q12,1208.34375,0.0,0.6815,0.9244,0.0,56.0
1,7,148,Q1,1208.34375,0.0,0.8031,1.1347,48.0,128.0
1,7,149,Q6,1208.34375,0.0,0.7619,1.1229,0.0,0.0
1,7,150,Q12,1208.34375,0.0,0.7794,1.0358,16.0,32.0
1,7,151,Q6,1208.34375,0.0,0.7869,1.2326,0.0,0.0
1,7,152,Q12,1208.34375,0.0,0.705,0.962,0.0,0.0
1,7,153,Q1,1208.34375,0.0,0.7432,1.1182,16.0,628.0
1,7,154,Q12,1208.34375,0.0,0.9284,1.2091,0.0,0.0
1,7,155,Q12,1208.34375,0.0,0.8625,1.0731,16.0,144.0
1,8,156,Q7,1208.375,0.0,1.1286,1.2136,16.0,104.0
1,8,157,Q7,1208.375,0.0,0.8393,0.6531,0.0,0.0
1,8,158,Q10,1208.375,0.0,1.1768,1.228,16.0,32.0
1,8,159,Q5,931.5625,-276.8125,0.4596,18.3378,0.0,80.0
1,8,160,Q7,931.5625,0.0,1.0624,1.1078,0.0,144.0
1,8,161,Q7,931.5625,0.0,1.0417,1.0461,0.0,144.0
1,8,162,Q7,931.5625,0.0,0.9235,0.7759,16.0,160.0
1,8,163,Q7,931.5625,0.0,1.1155,1.2127,0.0,0.0
1,8,164,Q3,931.609375,0.0469,0.9992,1.1583,0.0,160.0
1,8,165,Q7,931.609375,0.0,1.1532,1.1945,16.0,144.0
1,8,166,Q10,931.625,0.0156,1.2223,1.1647,0.0,0.0
1,8,167,Q10,931.625,0.0,1.0217,0.98,16.0,160.0
1,8,168,Q5,931.671875,0.0469,0.6255,0.7072,0.0,0.0
1,8,169,Q7,931.671875,0.0,0.8447,0.7775,16.0,144.0
1,8,170,Q5,931.671875,0.0,0.8233,1.0588,0.0,0.0
1,8,171,Q10,931.671875,0.0,1.0412,1.0051,16.0,144.0
1,8,172,Q7,931.671875,0.0,0.9804,1.1595,0.0,0.0
1,8,173,Q7,931.703125,0.0,0.8763,1.1571,0.0,104.0
1,8,174,Q3,931.703125,0.0,0.8978,1.2374,0.0,0.0
1,9,175,Q7,931.703125,0.0,0.9309,0.7875,0.0,0.0
1,9,176,Q3,931.703125,0.0,1.0687,1.2124,16.0,16.0
1,9,177,Q7,931.703125,0.0,0.9976,1.1536,0.0,0.0
1,9,178,Q3,931.703125,0.0,0.7334,0.8762,0.0,0.0
1,9,179,Q7,931.703125,0.0,0.9876,1.1441,0.0,0.0
1,9,180,Q5,931.703125,0.0,1.1316,0.8786,0.0,0.0
1,9,181,Q3,931.703125,0.0,1.062,1.2088,0.0,0.0
1,9,182,Q5,931.703125,0.0,1.0491,0.8235,0.0,0.0
1,9,183,Q3,931.703125,0.0,1.0345,1.1824,0.0,0.0
1,9,184,Q5,931.703125,0.0,0.8316,0.6098,0.0,0.0
1,9,185,Q3,931.703125,0.0,0.8773,0.9462,0.0,32.0
1,9,186,Q3,931.703125,0.0,0.75,0.9969,0.0,0.0
1,9,187,Q3,931.703125,0.0,0.9911,1.1788,0.0,0.0
1,9,188,Q3,931.703125,0.0,0.828,1.223,0.0,0.0
1,10,189,Q7,931.703125,0.0,0.9217,1.2441,0.0,0.0
1,10,190,Q3,931.703125,0.0,1.0259,1.0263,0.0,0.0
1,10,191,Q7,931.703125,0.0,0.9106,1.1122,0.0,0.0
1,10,192,Q3,931.703125,0.0,0.986,1.1693,0.0,0.0
1,10,193,Q5,931.703125,0.0,1.1436,1.1288,0.0,0.0
1,10,194,Q3,931.703125,0.0,0.9651,1.1224,0.0,0.0
1,10,195,Q10,931.703125,0.0,1.0698,1.108,0.0,0.0
1,10,196,Q10,931.703125,0.0,1.0838,1.1432,0.0,0.0
1,10,197,Q3,931.703125,0.0,1.0067,1.217,0.0,0.0
1,10,198,Q5,931.703125,0.0,1.1402,1.1811,0.0,0.0
1,10,199,Q10,931.703125,0.0,1.1199,1.2328,0.0,0.0
1,10,200,Q3,931.703125,0.0,0.9125,1.0993,0.0,0.0
1,10,201,Q7,931.703125,0.0,1.0977,1.1185,312.0,0.0
1,10,202,Q3,931.703125,0.0,1.0084,1.0602,0.0,0.0
1,10,203,Q3,931.703125,0.0,0.948,1.007,0.0,0.0
1,10,204,Q7,931.703125,0.0,1.1173,1.2316,0.0,0.0
1,10,205,Q7,931.703125,0.0,0.8965,1.1508,0.0,16.0
1,10,206,Q5,931.703125,0.0,1.1035,1.1024,0.0,0.0
1,10,207,Q3,931.703125,0.0,0.8453,1.2163,0.0,0.0
1,10,208,Q3,931.703125,0.0,0.748,0.6001,0.0,0.0
1,10,209,Q3,931.703125,0.0,0.9421,1.0884,0.0,0.0
1,10,210,Q3,931.703125,0.0,1.0391,1.1692,0.0,0.0
1,10,211,Q5,931.703125,0.0,1.0868,1.1094,0.0,0.0
1,10,212,Q7,931.703125,0.0,1.0883,1.232,0.0,0.0
1,10,213,Q5,931.703125,0.0,1.0642,1.0669,0.0,0.0
1,10,214,Q10,931.703125,0.0,1.1717,1.2944,0.0,0.0
1,10,215,Q10,931.703125,0.0,1.1939,1.2378,0.0,0.0
1,10,216,Q10,931.703125,0.0,1.1377,1.1457,0.0,0.0
1,10,217,Q7,931.703125,0.0,0.7793,1.0789,0.0,0.0
1,11,218,Q10,931.703125,0.0,0.7799,0.8998,0.0,0.0
1,11,219,Q10,931.703125,0.0,1.1301,1.1905,0.0,0.0
1,11,220,Q5,931.703125,0.0,1.1099,1.1895,0.0,0.0
1,11,221,Q5,931.703125,0.0,1.1013,1.1518,0.0,0.0
1,11,222,Q10,931.703125,0.0,1.1672,1.2604,0.0,0.0
1,11,223,Q5,931.703125,0.0,0.9117,1.1992,0.0,0.0
